11406,250054,1916,5706,5961,889018,0,0
36391,723227,7050,5723,6252,13504,0,0
56119,882157,6746,4927,1369,254983,1,0
5890,62802,2505,8508,7858,379114,0,0
84096,679635,1215,4076,128,194748,0,0
11245,447578,3711,5046,8133,695004,0,0
14077,644195,6331,183,4953,122334,0,0
81251,378519,6180,8686,3476,257601,0,0
72239,925749,3423,9841,4913,545252,0,0
67609,248928,2116,4142,3549,827708,0,0
42806,845625,6636,1278,7527,16551,0,0
99606,5621,5951,4870,303,741672,1,0
25084,259587,6913,5670,1478,443624,1,0
7267,787331,1606,8252,4972,151964,0,0
50979,314459,7776,6167,1586,425792,0,1
34788,913922,8896,7754,6251,851252,1,0
4048,329376,4692,8989,1209,258510,1,0
99576,472797,4708,2589,920,266063,0,0
48987,902828,9674,3735,3713,230003,1,0
45643,364166,3572,9931,4053,658799,1,0
51978,500310,1047,2341,9237,594184,1,0
2198,264856,2160,2744,3462,577527,0,0
19756,233677,1160,5114,875,597091,1,0
34931,946574,7824,8206,9624,271442,1,1
43660,158229,2129,2768,3705,900052,0,0
54120,551503,9868,9868,3089,628307,0,0
52230,529002,7155,623,6004,576709,0,0
16334,291422,5419,3919,6207,784375,0,0
5492,192555,4454,6829,4387,601222,1,0
30643,140806,1710,190,1240,908110,1,0
87332,887658,6936,6449,7555,35299,1,0
47517,538130,309,221,960,394562,0,0
94369,960766,586,6812,7636,271885,0,0
61947,594994,8129,4567,8970,764148,1,0
6628,816758,9845,5823,2906,882323,0,0
86339,871630,7065,842,4182,467057,0,0
74081,388930,7544,3708,6786,513642,0,0
63816,883794,4739,888,383,877611,0,1
43229,364487,8651,3624,8308,863334,0,0
87471,880040,6210,1285,1216,944117,0,0
21924,438708,3736,5886,9785,428295,0,0
96957,962997,3394,2237,8697,556555,1,0
99132,95869,9499,751,1843,149690,0,0
54177,4388,8277,1841,2918,404872,1,0
68989,324458,7663,4311,7228,112190,0,0
55944,898114,4047,6587,4345,299983,1,1
13137,580598,2879,4811,4074,650019,1,0
52972,613870,6739,7024,3097,6253,0,1
68757,442435,2479,2415,1504,35100,0,1
12996,684171,5406,6827,8225,304551,0,0
62798,283959,5732,3706,1726,910898,0,1
36770,112569,8916,7080,3740,916710,1,0
74206,115971,5454,3356,4509,998503,1,1
67803,605277,5005,6936,3385,199641,1,0
75424,140540,364,6123,9735,535007,0,0
62968,721352,8143,6929,1307,425438,0,0
79236,218602,3682,2456,9213,622153,1,0
62768,428486,2040,4456,8917,472813,1,0
7392,84678,5705,6783,8946,195394,1,0
51245,415470,9293,1369,9194,124704,0,0
76820,453755,8819,4933,6517,390017,0,0
12312,438383,5568,8307,924,301040,0,0
24232,136696,977,8719,4163,115842,0,0
22824,564469,394,7454,3272,755298,1,0
49066,321912,2050,5001,6409,823637,0,0
1170,353603,2727,2944,1615,213364,0,0
65217,2473,9104,4335,8533,179345,0,0
43670,398741,5504,5670,2021,634193,0,0
33256,456351,9035,7532,3591,606227,0,0
21628,195992,5550,7242,2134,493545,0,0
49353,423004,4426,7196,3241,30067,0,0
16079,459276,8920,1864,4244,901589,0,0
60073,50632,3619,6948,76,954071,0,0
83698,910807,1104,213,3994,637415,1,0
20300,112201,6034,9801,2447,310216,0,1
19957,430327,1084,8278,389,654810,1,0
15403,395730,2061,3297,5545,437859,0,0
29539,533057,9456,7708,9248,962554,0,0
97547,706049,6904,6009,6685,421482,0,0
3636,943413,180,8656,5467,991715,0,0
19896,979163,9343,8540,1480,619020,0,0
93819,691212,1624,3991,3501,492412,0,1
43047,766821,4418,6327,8144,600982,0,0
97855,504607,5751,6390,1238,779985,0,0
67654,121774,7388,3702,7433,235619,1,0
65752,283230,1068,9589,749,956296,0,0
17615,502611,2467,9918,665,339058,1,0
86328,939670,2004,4315,8637,755343,0,0
70973,401776,3112,1565,7845,286637,0,0
62463,283631,1877,2339,3681,134356,0,1
64405,136313,8332,2458,4280,816900,0,0
91230,253726,5147,8789,5591,217112,1,0
860,672773,4415,6213,1556,517734,0,0
49441,265551,6331,7958,5441,153952,0,1
69426,124433,7077,5755,4715,878302,0,0
54383,185878,5736,2669,9914,290171,1,0
34335,125610,7329,1599,6324,812734,0,0
86407,377150,3260,6393,5803,620459,0,0
79039,546661,850,435,189,496321,0,1
95493,90489,6292,8354,5755,752348,1,0
13614,79836,1605,9482,1876,153989,1,0
18237,853349,6360,9568,629,190861,0,0
53819,309444,3892,2811,6961,242411,0,0
89791,459351,5066,953,1983,324898,0,0
2302,607379,3322,2104,5443,664418,0,0
86787,51312,4230,6402,2493,133589,1,0
90877,696523,3000,92,4824,359452,0,0
900,749285,3549,9698,8017,253504,1,0
89613,992677,3642,3675,749,207297,1,0
40658,45261,3230,3036,9286,479469,1,0
50114,379818,9927,2624,2312,529015,0,0
26864,304206,7257,6127,1328,705856,0,0
83694,543504,7579,2396,1834,540548,0,0
63089,922504,3365,9394,8122,148440,1,1
99715,854088,7325,3411,6166,407755,1,0
37118,993997,5833,5057,5711,461386,0,0
46989,405510,7872,1169,9805,195181,0,1
21054,505733,1676,4510,2202,452982,0,0
4942,435157,3549,7902,6564,845712,1,0
97960,280350,2334,9947,5139,834240,0,0
7320,252018,6418,6015,4190,352465,0,1
33569,341742,5715,9197,8455,290482,1,0
91300,455316,1670,2425,5551,191344,1,0
96311,726353,1633,2158,9094,216043,0,0
23786,163613,5209,4966,3137,536536,0,0
34566,442807,2426,7539,7529,448251,0,0
45895,221706,7688,6267,7367,981969,0,0
57488,565780,8484,8260,4043,822497,0,0
17114,549262,8635,1849,8814,965155,0,0
12335,731497,6973,1924,2170,516920,0,0
82942,278415,4593,3247,3304,255998,0,0
99427,422379,650,1798,5825,466501,0,1
44567,219812,4045,9427,9735,628323,0,0
85309,479287,3979,3557,7750,893915,0,0
2312,554099,9089,2425,7483,18480,0,0
58028,342691,9701,552,627,388563,0,0
94359,45706,954,1857,5000,551751,0,0
81192,775945,8596,770,1740,547490,1,0
98506,853737,6056,2601,3705,360711,1,0
83234,3914,2405,2963,1887,20,1,0
93357,489060,4765,8101,2476,760249,0,1
65981,435781,1767,5521,5528,3780,1,0
53992,254116,7728,5127,4317,778441,0,0
9214,849690,6511,5759,9220,333376,0,0
4125,936005,2714,2403,4796,490512,0,0
79730,765361,7191,5262,7154,39113,0,0
42868,987029,8294,7267,8023,45571,0,0
85687,17411,9405,9924,9238,101863,0,0
40090,875929,6902,7368,8088,375061,0,0
35130,246872,250,6569,2215,862575,1,0
84902,530820,9702,762,3420,761905,0,0
9291,966299,1692,9151,3846,678380,0,0
99993,974432,761,1678,7990,770572,0,0
76313,23909,710,4202,6403,188291,1,0
63269,87409,2057,9589,2997,688911,1,0
39539,911166,4744,7452,9094,58396,0,0
94661,696685,7725,2385,3256,4438,0,0
66198,127061,9788,7441,8761,66595,0,0
40337,30576,654,9665,2346,957546,0,0
14291,726805,9671,9068,4625,268183,1,0
52803,301729,2698,324,7823,36616,0,0
65626,778171,7697,3613,1176,519801,0,0
46614,329026,9473,1491,9122,419058,1,0
79841,944908,9269,5162,8180,650335,0,0
26792,533486,9354,3893,9053,860271,0,0
77227,41909,9784,9221,2746,341265,1,0
6362,184482,236,6428,8426,684157,0,0
96260,873362,8600,2966,8604,847873,0,1
34312,385453,7550,3769,3218,981570,1,0
5426,1303,3680,1488,7918,425602,0,0
86310,670680,4088,7354,1476,858941,0,1
23423,301733,4674,9436,7706,656171,0,0
30480,798003,3911,9010,3866,194800,0,0
55619,923131,8281,2393,9373,749991,0,0
3397,188197,748,8420,4185,475622,0,0
50938,248030,1108,5114,4001,618239,1,0
16108,442362,1204,6835,7139,514228,1,0
15950,393082,3160,4447,8296,810285,0,0
49754,654089,6621,3147,7891,124106,0,0
30207,935387,6448,4124,9885,580744,0,0
29397,725204,2443,7364,745,540650,0,0
43990,188983,2303,5220,1612,776519,0,1
670,171253,4071,6463,2053,272809,1,0
62035,205298,272,5254,1262,152849,1,0
49124,172558,8522,9414,2571,344634,0,0
289,339757,9220,7761,7037,508634,0,1
11624,750723,4804,4294,5331,969854,0,0
78045,293132,1491,5126,1364,243660,0,0
47909,900635,1813,8058,4262,98664,0,0
24065,649012,2562,7478,927,657440,1,0
30198,642036,6800,9241,1642,881358,0,0
34090,635673,3312,5581,3759,257244,0,0
41906,283478,2105,4801,2448,196169,0,1
64575,33378,5574,4772,3363,304796,1,1
10620,162215,7481,323,9485,200280,1,1
57887,160289,4461,474,3740,190624,0,0
741,943771,6265,3465,8036,819810,1,1
23409,608145,7388,6627,4577,360981,0,0
59513,622670,9460,3987,8287,78414,0,0
25810,755457,5131,6244,6644,282459,0,1
50940,18155,7341,3969,1233,135818,0,0
64379,352530,3198,9228,415,868551,0,0
38698,106601,446,8819,9710,82687,0,0
90478,521235,686,3190,8018,599883,0,0
86162,888724,4024,2615,6515,589078,1,0
81237,359335,7553,8486,3728,540167,0,0
96889,528959,6820,9284,2929,548541,0,0
75548,497045,4748,6618,9144,185246,0,0
87097,656992,1282,3487,9796,494643,0,0
59232,969069,3359,6444,5256,757056,0,0
10953,595447,465,7119,7477,502090,0,0
92171,974425,2976,7503,5362,26541,1,0
30892,850597,3460,4639,1542,877460,0,0
27313,31504,8874,9662,8583,39588,0,0
90518,366898,5666,1286,9626,780292,0,0
52032,941028,7136,7490,8589,23773,0,0
